Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
3/7/2011,0.965849858,0.736546024,0.500416191,1,0,1,2.824889378,-2.45,-14.706125,12,7.52,10.26169,0.5764801,0,2404.8909,2219.104,2105.6757
3/8/2011,0.970642056,0.736546024,0.500416191,0,7.843954153,0.965849858,3.464101615,4.02,64.964808,11.7,3.5,2.401,0.0194481,0,2387.689,2105.6757,2277.61
3/9/2011,0.950674824,0.736546024,0.500416191,0,0,0.970642056,3.420526275,-0.3,-0.027,11.79,3.8,1.849,0.1185921,0,2337.9371,2277.61,2254.761
3/10/2011,0.961823283,0.736546024,0.500416191,0,0,0.950674824,3.433656943,0.09,0.000729,9.11,3.71,1.87489,0.089991785,0,2289.6675,2254.761,2241.5809
3/11/2011,0.945372575,0.736546024,0.500416191,0,0,0.961823283,3.018277655,-2.68,-19.248832,9.52,6.39,6.241,0.567125647,0,2333.7236,2241.5809,2047.2614
3/12/2011,0.942252607,0.736546024,0.500416191,0,0,0.945372575,3.085449724,0.41,0.068921,10.12,5.98,5.95984,0.326253906,0,2278.713,2047.2614,1990.5193
3/13/2011,1,0.736546024,0.500416191,0,0,0.942252607,3.181194744,0.6,0.216,9.3,5.38,5.776,0.098456006,0,2219.104,1990.5193,2108.7716
3/14/2011,0.965849858,0.736546024,0.500416191,0,0,1,3.049590136,-0.82,-0.551368,12.01,6.2,7.14025,0.243438006,0,2105.6757,2108.7716,1980.924
3/15/2011,0.970642056,0.736546024,0.500416191,0,0,0.965849858,3.46554469,2.71,19.902511,7.2,3.49,3.75769,0.000522006,0,2277.61,1980.924,2053.0554
3/16/2011,0.950674824,0.736546024,0.500416191,0,0,0.970642056,2.683281573,-4.81,-111.284641,4.54,8.3,14.71369,0.399236365,0,2254.761,2053.0554,1776.2153
3/17/2011,0.961823283,0.736546024,0.500416191,0,0,0.950674824,2.130727575,-2.66,-18.821096,2.7,10.96,22.65025,2.240545423,0,2241.5809,1776.2153,1640.0294
3/18/2011,0.945372575,0.736546024,0.500416191,0,0,0.961823283,1.643167673,-1.84,-6.229504,4.63,12.8,23.34784,11.34276121,0,2047.2614,1640.0294,1430.2429
3/19/2011,0.942252607,0.736546024,0.500416191,0,0,0.945372575,2.151743479,1.93,7.189057,1.93,10.87,15.45049,7.4805201,0,1990.5193,1430.2429,1488.0001
3/20/2011,1,0.736546024,0.500416191,0,0,0.942252607,1.389244399,-2.7,-19.683,7.96,13.57,30.976,8.248435877,0,2108.7716,1488.0001,1309.3492
3/21/2011,0.965849858,0.736546024,0.500416191,0,0,1,2.821347196,6.03,219.256227,7.94,7.54,5.85225,3.031207181,0,1980.924,1309.3492,1611.6729
3/22/2011,0.970642056,0.736546024,0.500416191,0,0,0.965849858,2.817800561,-0.02,-8.00E-06,9.51,7.56,9.409,0.862972877,0,2053.0554,1611.6729,1649.5847
3/23/2011,0.950674824,0.736546024,0.500416191,0,0,0.970642056,3.083828789,1.57,3.869893,9.69,5.99,4.59684,0.7311616,0,1776.2153,1649.5847,1870.0103
3/24/2011,0.961823283,0.736546024,0.500416191,0,0,0.950674824,3.112876483,0.18,0.005832,8.39,5.81,5.14089,0.392139006,0,1640.0294,1870.0103,1878.8617
3/25/2011,0.945372575,0.736546024,0.500416191,0,0,0.961823283,2.896549672,-1.3,-2.197,6.8,7.11,5.58009,2.075941406,0,1430.2429,1878.8617,1882.7684
3/28/2011,0.965849858,0.736546024,0.500416191,0,0,1,0.81240384,-1.55,-3.723875,2.82,14.84,35.15625,14.27186233,0,1611.6729,1360.2189,1223.8708
3/29/2011,0.970642056,0.736546024,0.500416191,0,0,0.965849858,1.679285562,2.16,10.077696,1.05,12.68,28.224,5.343975506,0,1649.5847,1223.8708,1117.6562
3/30/2011,0.950674824,0.736546024,0.500416191,0,0,0.970642056,1.024695077,-1.77,-5.545233,1.26,14.45,34.225,11.6985856,0,1870.0103,1117.6562,988.8884
3/31/2011,0.961823283,0.736546024,0.500416191,0,0,0.950674824,1.122497216,0.21,0.009261,1.86,14.24,26.17924,22.8886641,0,1878.8617,988.8884,932.2469
