Date,c
1/29/2012,2762.2095
1/30/2012,2891.553
1/31/2012,2997.121
2/1/2012,3005.5355
2/2/2012,3185.9765
2/3/2012,3061.9314
2/4/2012,3016.5334
2/5/2012,3160.6598
2/6/2012,3144.2643
2/7/2012,3201.1446
2/8/2012,3169.5275
2/9/2012,3158.9258
2/10/2012,3150.5208
2/11/2012,3086.59
2/12/2012,3210.1519
2/13/2012,3133.8843
2/14/2012,3101.2883
2/15/2012,3056.1685
2/16/2012,2972.4575
2/17/2012,2789.0309
2/18/2012,2792.9941
2/19/2012,2870.2444
2/20/2012,2899.0724
2/21/2012,2887.0762
2/22/2012,2716.6985
2/23/2012,2736.221
2/24/2012,2651.3998
2/25/2012,2599.3441
2/26/2012,2626.4437
2/27/2012,2404.4623
2/28/2012,1488.0605
2/29/2012,1815.5804
3/1/2012,2360.0607
3/2/2012,2330.6182
3/3/2012,2426.4055
3/4/2012,2533.858
3/5/2012,2610.5925
3/6/2012,2606.5636
3/7/2012,2532.9372
3/8/2012,2569.6585
3/9/2012,2566.8191
3/10/2012,2674.4438
3/11/2012,2793.3591
3/12/2012,2898.016
3/13/2012,2665.4507
3/14/2012,2413.0884
3/15/2012,2561.4637
3/16/2012,2614.4575
3/17/2012,2628.1268
3/18/2012,2666.9968
3/19/2012,2231.3804
3/20/2012,1992.2255
3/21/2012,1958.4192
3/22/2012,2133.2455
3/23/2012,2150.702
3/24/2012,1897.4973
3/25/2012,1989.0644
3/26/2012,1835.5699
3/27/2012,2266.292
3/28/2012,1992.9019
3/29/2012,1854.1907
3/30/2012,1606.3931
3/31/2012,1673.1703
4/1/2012,1563.4872
4/2/2012,1491.0295
4/3/2012,1349.5438
4/4/2012,1197.2076
4/5/2012,1011.5984
4/6/2012,865.5317
4/7/2012,766.5444
4/8/2012,731.5432
4/9/2012,751.9333
4/10/2012,684.0581
4/11/2012,678.5033
4/12/2012,729.6388
4/13/2012,752.9438
4/14/2012,695.7358
4/15/2012,529.5711
4/16/2012,539.4782
4/17/2012,707.3905
4/18/2012,640.6989
4/19/2012,667.5446
4/20/2012,668.3272
4/21/2012,648.5779
4/22/2012,689.4126
4/23/2012,679.318
4/24/2012,641.9314
4/25/2012,642.7151
4/26/2012,633.0406
4/27/2012,609.4656
4/28/2012,599.6479
4/29/2012,651.2251
4/30/2012,608.5064
5/1/2012,597.5161
5/2/2012,592.3367
5/3/2012,605.0236
5/4/2012,585.9146
5/5/2012,609.0121
5/6/2012,623.3753
5/7/2012,591.1968
5/8/2012,572.3797
5/9/2012,615.54
5/10/2012,567.0352
5/11/2012,548.7563
5/12/2012,559.0574
5/13/2012,599.7906
5/14/2012,590.8569
5/15/2012,589.2171
5/16/2012,585.1318
5/17/2012,569.9851
5/18/2012,572.3362
5/19/2012,545.427
5/20/2012,578.1294
5/21/2012,552.8208
5/22/2012,568.7776
5/23/2012,582.4649
5/24/2012,583.4767
5/25/2012,555.7172
5/26/2012,573.5643
5/27/2012,601.7241
5/28/2012,570.6646
5/29/2012,594.6162
5/30/2012,578.8311
5/31/2012,578.8337
6/1/2012,565.8065
6/2/2012,560.3046
6/3/2012,595.3468
6/4/2012,554.8749
6/5/2012,536.1238
6/6/2012,543.4834
6/7/2012,546.112
6/8/2012,535.7211
6/9/2012,554.6615
6/10/2012,590.823
6/11/2012,540.8088
6/12/2012,533.2675
6/13/2012,534.5863
6/14/2012,513.4797
6/15/2012,502.4208
6/16/2012,512.0621
6/17/2012,525.59
6/18/2012,536.2259
6/19/2012,545.5193
6/20/2012,531.2803
6/21/2012,536.4585
6/22/2012,516.1459
6/23/2012,510.0971
6/24/2012,535.3227
6/25/2012,512.251
6/26/2012,509.1727
6/27/2012,522.0105
6/28/2012,516.6655
6/29/2012,518.0773
6/30/2012,521.6876
7/1/2012,545.9458
7/2/2012,518.8863
7/3/2012,533.277
7/4/2012,536.6968
7/5/2012,534.2883
7/6/2012,520.0234
7/7/2012,514.4846
7/8/2012,525.0433
7/9/2012,500.7396
7/10/2012,513.1489
7/11/2012,520.6965
7/12/2012,520.9228
7/13/2012,513.6461
7/14/2012,489.4621
7/15/2012,500.4095
7/16/2012,486.0371
7/17/2012,489.6632
7/18/2012,479.1218
7/19/2012,467.0352
7/20/2012,465.1792
7/21/2012,439.6258
7/22/2012,450.4308
7/23/2012,443.1489
7/24/2012,452.8021
7/25/2012,431.5233
7/26/2012,432.8736
7/27/2012,430.3334
7/28/2012,419.2533
7/29/2012,426.5509
7/30/2012,430.3556
7/31/2012,428.9422
8/1/2012,476.3359
8/2/2012,441.0918
8/3/2012,430.5988
8/4/2012,412.2754
8/5/2012,424.0175
8/6/2012,431.0586
8/7/2012,434.2061
8/8/2012,426.2607
8/9/2012,412.473
8/10/2012,425.2876
8/11/2012,415.394
8/12/2012,415.3919
8/13/2012,432.1569
8/14/2012,430.9237
8/15/2012,431.1059
8/16/2012,432.9669
8/17/2012,449.9969
8/18/2012,445.2934
8/19/2012,437.2721
8/20/2012,459.6581
8/21/2012,454.6723
8/22/2012,469.6834
8/23/2012,477.7175
8/24/2012,478.4662
8/25/2012,460.8556
8/26/2012,477.5239
8/27/2012,462.6242
8/28/2012,434.7705
8/29/2012,451.3377
8/30/2012,483.0286
8/31/2012,476.1799
9/1/2012,481.4048
9/2/2012,512.2526
9/3/2012,514.352
9/4/2012,535.1075
9/5/2012,522.6997
9/6/2012,455.7841
9/7/2012,510.6088
9/8/2012,518.6651
9/9/2012,528.8331
9/10/2012,518.6901
9/11/2012,540.6363
9/12/2012,582.0833
9/13/2012,581.122
9/14/2012,556.3808
9/15/2012,558.7906
9/16/2012,615.45
9/17/2012,552.0099
9/18/2012,552.0698
9/19/2012,556.4277
9/20/2012,556.6086
9/21/2012,527.9775
9/22/2012,535.9921
