DT,Temp,cy,Msin,Mcos,Wsin,Wcos,Hsin,Hcos,c
2020-07-07 02:00:00,25.39936542,190.46,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,190.17
2020-07-07 03:00:00,24.2,190.17,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.7071067811865476,0.7071067811865476,190.07
2020-07-07 04:00:00,25.28425301,190.07,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,190.01
2020-07-07 05:00:00,25.59318788,190.01,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.9659258262890683,0.25881904510252074,190.0
2020-07-07 06:00:00,24.4,190.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,190.02
2020-07-07 07:00:00,26.81184079,190.02,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,180.0
2020-07-07 08:00:00,27.62525328,180.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,178.52
2020-07-07 09:00:00,30.6,178.52,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.7071067811865476,-0.7071067811865475,193.89
2020-07-07 10:00:00,29.36364836,193.89,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,209.33
2020-07-07 11:00:00,30.16581393,209.33,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,220.35
2020-07-07 12:00:00,30.4,220.35,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,223.33
2020-07-07 13:00:00,31.3633953,223.33,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890683,218.96
